Project Name ,Developer Name,Location,Asset Type,Unit Type,BUA,Land Area,Garden,Unit Price,PSM,Payment yrs raw,Payment Yrs,Down Payment ,Delivery %,Cash discount,Delivery Date,Finishing Specs.,Maintenance,Phase,Date of Update,Updated by,Source of info.,Months from Update,Notes,Offering
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,223,,,27664000,124053.8117,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-28,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,129,,,15874000,123054.2636,8,8 Yrs,0.05,,,2027,Fully Finished,,,2025-09-29,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Apartment,125,,,13076000,104608,8,8 Yrs,0.05,,,2027,Fully Finished,,,2025-09-30,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,427,,,72615000,170058.548,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-26,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,427,,,67980000,159203.7471,8,8 Yrs,0.05,,,RTM,Core & Shell,,,2025-09-27,Farah,Direct Sales,04,"5% Down Payment (8 Yrs,10Yrs)",Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,392,,390,67875000,173150.5102,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-27,Farah,Direct Sales,04,,Sell
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,237,,318,41774000,176261.6034,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-27,Farah,Direct Sales,04,,Rent
SODIC EAST,SODIC,New Heliopolis,Residential,Villa,237,,342,43395000,183101.2658,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,,Rent
The Polygon SODIC,SODIC,El Sheikh Zayed,Commercial,Office,335,,,82088000,245038.806,6,6 Yrs,0.1,,,RTM,Core & Shell,,,2025-09-28,Farah,Direct Sales,04,,Rent
The Polygon SODIC,SODIC,El Sheikh Zayed,Commercial,Office,358,,,87683000,244924.581,6,6 Yrs,0.1,,,RTM,Core & Shell,,,2025-09-29,Farah,Direct Sales,04,,Sell
The Polygon SODIC,SODIC,El Sheikh Zayed,Commercial,Office,140,,,38110000,272214.2857,6,6 Yrs,0.1,,,RTM,Core & Shell,,,2025-09-30,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,168,,109,30165000,179553.5714,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,177,,120,32148000,181627.1186,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,247,,,34430000,139392.7126,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,118,,84,22752000,192813.5593,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-25,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,161,,,23917000,148552.795,8,8 Yrs,0.05,,,2028,Fully Finished,,,2025-09-26,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,117,,65,21343000,182418.8034,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-27,Farah,Direct Sales,04,,Sell
The Estates Residences,SODIC,New Zayed,Residential,Apartment,148,,127,28924000,195432.4324,8,8 Yrs,0.05,,,2029,Fully Finished,,,2025-09-28,Farah,Direct Sales,04,,Rent
Allegria Residence,SODIC,6th of October,Residential,Apartment,200,,,46069000,230345,6,6 Yrs,0.1,,,RTM,Fully Finished,,,2025-09-29,Farah,Direct Sales,04,,Sell
Allegria Residence,SODIC,6th of October,Residential,Apartment,200,,,47273000,236365,6,6 Yrs,0.1,,,RTM,Fully Finished,,,2025-09-30,Farah,Direct Sales,04,,Sell
karmell,SODIC,New Zayed,Residential,Apartment,157,,,17048000,108585.9873,10,10 Yrs,0.05,,,2028,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8Yrs,10Yrs)",Rent
karmell,SODIC,New Zayed,Residential,Apartment,157,,108,20854000,132828.0255,10,10 Yrs,0.05,,,2028,Core & Shell,,,2025-09-25,Farah,Direct Sales,04,"5% Down Payment (8Yrs,10Yrs)",Rent
